城市id	城市名称
255	五常市
256	阿城区
259	依兰县
260	方正县
261	宾县
262	巴彦县
263	木兰县
264	通河县
265	延寿县
267	齐齐哈尔市
271	讷河市
272	龙江县
273	依安县
274	泰来县
275	甘南县
276	富裕县
277	克山县
278	克东县
279	拜泉县
281	鸡西市
287	虎林市
288	密山市
289	鸡东县
291	鹤岗市
292	萝北县
293	绥滨县
295	双鸭山市
299	集贤县
300	宝清县
301	饶河县
303	友谊县
305	大庆市
310	肇源县
311	肇州县
312	林甸县
314	杜尔伯特蒙古族自治县
316	伊春市
326	铁力市
327	嘉荫县
331	佳木斯市
332	同江市
333	富锦市
334	桦南县
335	桦川县
336	汤原县
337	抚远市
339	七台河市
340	勃利县
342	牡丹江市
343	穆棱市
344	绥芬河市
345	海林市
346	宁安市
347	东宁县
348	林口县
351	黑河市
353	北安市
354	五大连池市
355	嫩江市
356	逊克县
357	孙吴县
359	绥化市
360	安达市
361	肇东市
362	海伦市
363	望奎县
364	兰西县
365	青冈县
366	庆安县
367	明水县
368	绥棱县
370	大兴安岭地区
371	加格达奇区
372	呼玛县
373	塔河县
374	漠河市
375	呼中区
376	新林区
379	郑州市
380	上街区
381	新郑市
382	荥阳市
383	新密市
384	巩义市
385	登封市
386	中牟县
388	开封市
389	杞县
390	通许县
391	尉氏县
392	兰考县
394	洛阳市
397	偃师区
398	孟津县
399	新安县
400	栾川县
401	嵩县
402	汝阳县
403	宜阳县
404	洛宁县
405	伊川县
407	平顶山市
408	舞钢市
409	汝州市
410	宝丰县
411	叶县
412	鲁山县
413	郏县
414	石龙区
416	焦作市
419	沁阳市
420	孟州市
421	修武县
422	博爱县
423	武陟县
424	温县
426	鹤壁市
430	浚县
431	淇县
433	新乡市
435	卫辉市
436	辉县市
437	获嘉县
438	原阳县
439	延津县
440	长垣市
441	封丘县
443	安阳市
444	林州市
445	汤阴县
446	内黄县
447	滑县
449	濮阳市
450	清丰县
451	南乐县
452	范县
453	台前县
456	许昌市
458	禹州市
459	长葛市
461	鄢陵县
462	襄城县
464	漯河市
466	舞阳县
467	临颍县
469	三门峡市
470	义马市
471	灵宝市
472	陕州区
473	渑池县
474	卢氏县
476	南阳市
477	邓州市
478	南召县
479	方城县
480	镇平县
481	社旗县
482	唐河县
483	新野县
484	内乡县
485	西峡县
486	淅川县
487	桐柏县
489	商丘市
492	永城市
493	民权县
494	睢县
495	宁陵县
496	柘城县
497	虞城县
498	夏邑县
500	信阳市
502	罗山县
503	光山县
504	新县
505	商城县
506	固始县
507	潢川县
508	淮滨县
509	息县
511	周口市
513	项城市
514	扶沟县
515	西华县
516	商水县
517	沈丘县
518	郸城县
519	淮阳区
520	太康县
521	鹿邑县
523	驻马店市
524	西平县
525	上蔡县
526	平舆县
527	正阳县
528	确山县
529	泌阳县
530	汝南县
531	遂平县
532	新蔡县
534	济源市
537	武汉市
540	黄陂区
541	新洲区
542	江夏区
543	蔡甸区
544	东西湖区
546	黄石市
547	大冶市
548	阳新县
549	西塞山区
550	铁山区
551	下陆区
553	襄阳市
554	襄州区
555	枣阳市
556	老河口市
557	宜城市
558	谷城县
559	保康县
560	南漳县
562	鄂州市
563	梁子湖区
565	十堰市
566	郧阳区
567	郧西县
568	竹山县
569	竹溪县
570	房县
571	丹江口市
572	张湾区
573	茅箭区
575	沙市区
576	石首市
577	洪湖市
578	松滋市
579	公安县
580	监利市
581	江陵县
582	荆州市
584	宜昌市
585	宜都市
586	当阳市
587	枝江市
588	远安县
589	兴山县
590	秭归县
591	长阳土家族自治县
592	五峰土家族自治县
593	三峡大坝风景区
595	夷陵区
597	荆门市
598	京山市
599	钟祥市
600	沙洋县
601	掇刀区
603	孝感市
604	汉川市
605	安陆市
606	应城市
607	大悟县
608	孝昌县
609	云梦县
611	黄冈市
612	麻城市
613	武穴市
614	团风县
615	红安县
616	罗田县
617	英山县
618	浠水县
619	蕲春县
620	黄梅县
622	咸宁市
623	赤壁市
624	嘉鱼县
625	通城县
626	崇阳县
627	通山县
629	随州市
630	广水市
632	恩施土家族苗族自治州
633	利川市
634	建始县
635	巴东县
636	宣恩县
637	咸丰县
638	来凤县
639	鹤峰县
641	仙桃市
643	潜江市
645	天门市
647	神农架林区
650	长沙市
651	浏阳市
653	望城区
654	宁乡市
655	马坡岭街道
657	株洲市
658	醴陵市
660	攸县
661	茶陵县
662	炎陵县
664	湘潭市
665	湘乡市
667	韶山市
669	衡阳市
670	南岳区
671	耒阳市
672	常宁市
673	衡阳县
674	衡南县
675	衡山县
676	衡东县
677	祁东县
679	邵阳市
680	武冈市
681	邵东市
682	新邵县
683	邵阳县
684	隆回县
685	洞口县
686	绥宁县
687	新宁县
688	城步苗族自治县
690	岳阳市
691	汨罗市
692	临湘市
694	华容县
695	湘阴县
696	平江县
699	常德市
700	津市市
701	安乡县
702	汉寿县
703	临澧县
704	澧县
705	桃源县
706	石门县
708	张家界市
709	慈利县
710	桑植县
711	武陵源区
713	益阳市
714	沅江市
715	南县
716	桃江县
717	安化县
718	赫山区
720	郴州市
721	资兴市
722	桂阳县
723	宜章县
724	永兴县
725	嘉禾县
726	临武县
727	汝城县
728	桂东县
729	安仁县
730	苏仙区
732	永州市
734	祁阳市
735	东安县
736	双牌县
737	道县
738	江永县
739	宁远县
740	蓝山县
741	新田县
742	江华瑶族自治县
744	怀化市
745	沅陵县
746	辰溪县
747	溆浦县
748	中方县
749	会同县
750	麻阳苗族自治县
751	新晃侗族自治县
752	芷江侗族自治县
753	靖州苗族侗族自治县
754	通道侗族自治县
756	娄底市
757	冷水江市
758	涟源市
759	双峰县
760	新化县
761	冷水滩区
763	吉首市
764	泸溪县
765	凤凰县
766	花垣县
767	保靖县
768	古丈县
769	永顺县
770	龙山县
772	黔阳
773	洪江市
776	南宁市
777	邕宁区
778	武鸣区
779	隆安县
780	马山县
781	上林县
782	宾阳县
783	横州市
784	南宁城区
785	江南区
787	柳州市
788	柳江区
789	柳城县
790	鹿寨县
791	融安县
792	融水苗族自治县
793	三江侗族自治县
795	桂林市
796	阳朔县
797	临桂区
798	灵川县
799	平乐县
800	兴安县
801	灌阳县
802	荔浦市
803	资源县
804	永福县
805	龙胜各族自治县
806	恭城瑶族自治县
807	全州县
809	梧州市
810	岑溪市
811	苍梧县
812	藤县
813	蒙山县
814	长洲区
816	北海市
817	合浦县
818	涠洲岛风景区
820	防城区
821	上思县
822	防城港市
823	东兴市
825	贺州市
826	钟山县
827	昭平县
828	富川瑶族自治县
830	来宾市
831	合山市
832	象州县
833	武宣县
834	忻城县
835	金秀瑶族自治县
837	贵港市
838	桂平市
839	平南县
841	玉林市
842	北流市
843	容县
844	陆川县
845	博白县
846	兴业县
848	百色市
849	凌云县
850	平果市
851	西林县
852	乐业县
853	德保县
854	田林县
855	田阳区
856	靖西市
857	田东县
858	那坡县
859	隆林各族自治县
861	河池市
862	宜州区
863	天峨县
864	凤山县
865	南丹县
866	东兰县
867	都安瑶族自治县
868	罗城仫佬族自治县
869	巴马瑶族自治县
870	环江毛南族自治县
871	大化瑶族自治县
873	钦州市
874	灵山县
875	浦北县
877	崇左市
878	宁明县
879	扶绥县
880	龙州县
881	大新县
882	天等县
883	凭祥市
886	广州市
887	番禺区
888	花都区
889	增城区
890	从化区
892	深圳市
895	珠海市
896	斗门区
897	黄茅洲镇
898	金湾区
900	汕头市
901	潮阳区
902	澄海区
903	南澳县
905	韶关市
906	曲江区
907	乐昌市
908	南雄市
909	始兴县
910	仁化县
911	翁源县
912	新丰县
913	乳源瑶族自治县
914	浈江区
915	武江区
917	佛山市
918	顺德区
919	三水区
920	高明区
921	南海区
923	江门市
924	新会区
925	台山市
926	开平市
927	鹤山市
928	恩平市
929	上川岛风景区
930	蓬江区
931	江海区
933	茂名市
934	高州市
935	化州市
936	信宜市
937	电白县（现电白区）
938	电白区
940	湛江市
941	廉江市
942	雷州市
943	吴川市
944	遂溪县
945	徐闻县
946	麻章区
947	坡头区
948	赤坎区
949	霞山区
951	肇庆市
952	高要区
953	四会市
954	广宁县
955	怀集县
956	封开县
957	德庆县
959	惠州市
960	惠阳区
961	博罗县
962	惠东县
963	龙门县
965	梅州市
966	兴宁市
967	梅县区
968	大埔县
969	丰顺县
970	五华县
971	平远县
972	蕉岭县
974	汕尾市
975	陆丰市
976	海丰县
977	陆河县
979	河源市
980	紫金县
981	龙川县
982	连平县
983	和平县
984	东源县
986	阳江市
987	阳春市
988	阳西县
989	阳东区
991	清远市
992	英德市
993	连州市
994	佛冈县
995	阳山县
996	连山壮族瑶族自治县
997	连南瑶族自治县
998	清新区
1000	东莞市
1002	中山市
1004	潮州市
1005	饶平县
1006	潮安区
1008	揭阳市
1009	普宁市
1010	揭西县
1011	惠来县
1012	揭东区
1014	云浮市
1015	罗定市
1016	新兴县
1017	郁南县
1018	云安区
1020	海口市
1022	三亚市
1023	文昌市
1024	琼海市
1025	万宁市
1026	东方市
1027	五指山市
1028	儋州市
1029	临高县
1030	澄迈县
1031	定安县
1032	屯昌县
1033	昌江黎族自治县
1034	白沙黎族自治县
1035	琼中黎族苗族自治县
1036	陵水黎族自治县
1037	保亭黎族苗族自治县
1038	乐东黎族自治县
1039	西沙群岛
1040	南沙群岛
1041	三沙市
1045	南京市
1052	浦口区
1055	江宁区
1056	六合区
1057	溧水区
1058	高淳区
1059	江浦
1061	无锡市
1066	锡山区
1068	江阴市
1069	宜兴市
1071	徐州市
1077	新沂市
1078	邳州市
1079	丰县
1080	沛县
1081	铜山区
1082	睢宁县
1084	常州市
1089	武进区
1090	金坛市
1091	溧阳市
1093	苏州市
1098	吴中区
1100	常熟市
1101	张家港市
1102	昆山市
1103	吴江区
1104	太仓市
1105	东山镇
1106	吴县市（现吴中区、相城区）
1108	南通市
1111	启东市
1112	如皋市
1113	南通市通州区
1114	海门区
1115	海安市
1116	如东县
1119	连云港市
1123	赣榆区
1124	东海县
1125	灌云县
1126	灌南县
1127	燕尾港
1130	淮安市
1133	楚州区（现淮安区）
1134	淮安区
1135	涟水县
1136	洪泽区
1137	盱眙县
1138	金湖县
1139	淮阴区
1141	盐城市
1143	盐都区
1144	东台市
1145	大丰区
1146	响水县
1147	滨海县
1148	阜宁县
1149	射阳县
1150	建湖县
1152	扬州市
1154	邗江区
1156	仪征市
1157	高邮市
1158	江都区
1159	宝应县
1161	镇江市
1164	丹徒区
1165	丹阳市
1166	扬中市
1167	句容市
1169	泰州市
1172	兴化市
1173	靖江市
1174	泰兴市
1175	姜堰区
1177	宿迁市
1179	宿豫区
1180	沭阳县
1181	泗阳县
1182	泗洪县
1185	杭州市
1186	萧山区
1187	余杭区
1188	建德市
1189	富阳区
1190	临安区
1191	桐庐县
1192	淳安县
1194	台州市
1195	椒江区
1196	黄岩区
1197	路桥区
1198	临海市
1199	温岭市
1200	玉环市
1201	天台县
1202	仙居县
1204	三门县
1205	大陈镇
1206	洪家街道
1208	宁波市
1209	鄞州区
1210	镇海区
1211	余姚市
1212	慈溪市
1213	奉化区
1214	宁海县
1215	象山县
1216	北仑区
1217	石浦镇
1218	鄞县
1220	温州市
1222	瑞安市
1223	乐清市
1224	永嘉县
1225	文成县
1226	平阳县
1227	泰顺县
1228	洞头县
1229	苍南县
1233	嘉兴市
1235	海宁市
1236	平湖市
1237	桐乡市
1238	嘉善县
1239	海盐县
1241	湖州市
1242	德清县
1243	安吉县
1244	长兴县
1246	绍兴市
1248	诸暨市
1249	上虞区
1250	嵊州市
1251	新昌县
1253	金华市
1254	兰溪市
1255	义乌市
1256	东阳市
1257	永康市
1258	武义县
1259	浦江县
1260	磐安县
1262	衢州市
1263	江山市
1264	常山县
1265	开化县
1266	龙游县
1267	衢江区
1269	舟山市
1270	定海区
1271	舟山市普陀区
1272	岱山县
1273	嵊泗县
1275	丽水市
1276	龙泉市
1277	青田县
1278	缙云县
1279	遂昌县
1280	松阳县
1281	云和县
1282	庆元县
1283	景宁畲族自治县
1286	南昌市
1287	南昌县
1288	新建区
1289	安义县
1290	进贤县
1291	莲塘镇
1293	乐平市
1294	浮梁县
1295	景德镇市
1297	萍乡市
1298	莲花县
1299	上栗县
1300	芦溪县
1303	湘东区
1304	安源区
1306	九江市
1307	武宁县
1308	修水县
1309	永修县
1310	德安县
1311	庐山市
1312	都昌县
1313	湖口县
1314	彭泽县
1315	濂溪区
1316	瑞昌市
1318	新余市
1319	分宜县
1321	鹰潭市
1322	贵溪市
1323	余江区
1325	赣州市
1326	瑞金市
1327	南康区
1328	赣县区
1329	信丰县
1330	大余县
1331	上犹县
1332	崇义县
1333	安远县
1334	龙南市
1335	定南县
1336	全南县
1337	宁都县
1338	于都县
1339	兴国县
1340	会昌县
1341	寻乌县
1342	石城县
1346	吉安市
1347	吉水县
1348	峡江县
1349	新干县
1350	永丰县
1351	遂川县
1352	泰和县
1353	万安县
1354	安福县
1355	永新县
1356	宁冈
1357	井冈山市
1358	吉安县
1360	宜春市
1361	丰城市
1362	樟树市
1363	高安市
1364	奉新县
1365	万载县
1366	上高县
1367	宜丰县
1368	靖安县
1369	铜鼓县
1372	南城县
1373	黎川县
1374	南丰县
1375	崇仁县
1376	乐安县
1377	宜黄县
1378	金溪县
1379	资溪县
1380	东乡区
1381	广昌县
1382	抚州市
1384	上饶市
1385	德兴市
1386	广信区
1387	广丰区
1388	玉山县
1389	铅山县
1390	横峰县
1391	弋阳县
1392	余干县
1393	波阳
1394	万年县
1395	婺源县
1396	鄱阳县
1399	济南市
1400	长清区
1401	章丘区
1402	平阴县
1403	济阳区
1404	商河县
1405	天桥区
1407	青岛市
1408	胶州市
1409	即墨区
1410	平度市
1411	胶南市（现黄岛区）
1412	莱西市
1413	崂山区
1415	淄博市
1416	周村区
1417	博山区
1418	淄川区
1420	桓台县
1421	高青县
1422	沂源县
1423	临淄区
1425	枣庄市
1426	薛城区
1427	峄城区
1429	台儿庄区
1430	滕州市
1433	东营市
1434	利津县
1435	垦利区
1436	广饶县
1437	河口区
1439	烟台市
1441	福山区
1442	牟平区
1443	龙口市
1444	莱阳市
1445	莱州市
1446	蓬莱区
1447	招远市
1448	栖霞市
1449	海阳市
1450	长岛县
1452	潍坊市
1454	青州市
1455	诸城市
1456	寿光市
1457	安丘市
1458	高密市
1459	昌邑市
1460	昌乐县
1461	临朐县
1463	威海市
1464	文登区
1465	乳山市
1466	荣成市
1467	石岛管理区
1468	成山头风景区（成山镇）
1470	济宁市
1471	曲阜市
1472	兖州区
1473	邹城市
1474	鱼台县
1475	金乡县
1476	嘉祥县
1477	微山县
1478	汶上县
1479	泗水县
1480	梁山县
1482	泰安市
1483	新泰市
1484	肥城市
1485	宁阳县
1486	东平县
1489	日照市
1490	五莲县
1491	莒县
1493	莱芜区
1495	临沂市
1496	沂南县
1497	郯城县
1498	沂水县
1499	兰陵县
1500	费县
1501	平邑县
1502	莒南县
1503	蒙阴县
1504	临沭县
1506	德州市
1507	乐陵市
1508	禹城市
1509	陵城区
1510	宁津县
1511	庆云县
1512	临邑县
1513	齐河县
1514	平原县
1515	夏津县
1516	武城县
1518	聊城市
1519	临清市
1520	阳谷县
1521	莘县
1522	茌平区
1523	东阿县
1524	冠县
1525	高唐县
1526	朝城镇
1528	滨州市
1529	惠民县
1530	阳信县
1531	无棣县
1532	沾化区
1533	博兴县
1534	邹平市
1536	菏泽市
1537	曹县
1538	单县
1539	成武县
1540	巨野县
1541	郓城县
1542	鄄城县
1543	定陶区
1544	东明县
1547	合肥市
1548	长丰县
1549	肥西县
1550	肥东县
1552	芜湖市
1553	湾沚区
1554	南陵县
1555	繁昌区
1557	蚌埠市
1558	怀远县
1559	固镇县
1560	五河县
1562	淮南市
1563	凤台县
1564	潘集区
1566	马鞍山市
1567	当涂县
1569	淮北市
1570	濉溪县
1572	铜陵市
1574	安庆市
1575	桐城市
1576	宿松县
1577	枞阳县
1578	太湖县
1579	怀宁县
1580	岳西县
1581	望江县
1582	潜山市
1584	黄山市
1585	黄山区
1586	黄山风景区
1587	屯溪区
1588	休宁县
1589	歙县
1590	祁门县
1591	黟县
1593	滁州市
1594	天长市
1595	明光市
1596	全椒县
1597	来安县
1598	定远县
1599	凤阳县
1601	阜阳市
1602	界首市
1603	临泉县
1604	颍上县
1605	阜南县
1606	太和县
1608	宿州市
1609	萧县
1610	泗县
1611	砀山县
1612	灵璧县
1618	巢湖市
1619	和县
1620	含山县
1621	庐江县
1622	无为市
1624	六安市
1625	寿县
1626	霍山县
1627	霍邱县
1628	舒城县
1629	金寨县
1631	亳州市
1633	利辛县
1634	涡阳县
1635	蒙城县
1637	池州市
1639	东至县
1640	石台县
1641	青阳县
1642	九华山风景区
1644	宣城市
1646	宁国市
1647	广德市
1648	郎溪县
1649	泾县
1650	旌德县
1651	绩溪县
1654	福州市
1655	福清市
1656	长乐区
1657	闽侯县
1658	连江县
1659	罗源县
1660	闽清县
1661	永泰县
1662	平潭县
1663	福州市郊区
1665	厦门市
1666	同安区
1668	莆田市
1670	仙游县
1671	湄洲湾秀屿港
1672	城厢区
1673	秀屿区
1674	荔城区
1675	涵江区
1677	泉州市
1678	石狮市
1679	晋江市
1680	南安市
1681	惠安县
1682	安溪县
1683	永春县
1684	德化县
1686	崇武古城风景区
1687	九仙山风景区（德化）
1689	漳州市
1690	龙海区
1691	云霄县
1692	漳浦县
1693	诏安县
1694	长泰区
1695	东山县
1696	南靖县
1697	平和县
1698	华安县
1700	南平市
1701	邵武市
1702	武夷山市
1703	建瓯市
1704	建阳区
1705	顺昌县
1706	浦城县
1707	光泽县
1708	松溪县
1709	政和县
1711	龙岩市
1712	漳平市
1713	武平县
1714	长汀县
1715	永定区
1716	连城县
1717	上杭县
1719	三明市
1720	永安市
1721	明溪县
1722	清流县
1723	宁化县
1724	大田县
1725	尤溪县
1726	沙县区
1727	将乐县
1728	泰宁县
1729	建宁县
1731	宁德市
1732	福安市
1733	福鼎市
1734	霞浦县
1735	古田县
1736	屏南县
1737	寿宁县
1738	周宁县
1739	柘荣县
1742	石家庄市
1743	藁城区
1744	辛集市
1745	晋州市
1746	新乐市
1747	鹿泉区
1748	平山县
1749	井陉矿区
1750	栾城区
1751	正定县
1752	行唐县
1753	灵寿县
1754	高邑县
1755	赵县
1756	赞皇县
1757	深泽县
1758	无极县
1759	元氏县
1761	唐山市
1762	丰润区
1763	丰南区
1764	遵化市
1765	迁安市
1766	迁西县
1767	滦南县
1768	玉田县
1769	唐海
1770	乐亭县
1771	滦州市
1773	秦皇岛市
1774	昌黎县
1775	卢龙县
1776	抚宁县
1777	青龙满族自治县
1780	北戴河区
1782	邯郸市
1783	永年区
1784	曲周县
1785	馆陶县
1786	魏县
1787	成安县
1788	大名县
1789	涉县
1790	鸡泽县
1791	邱县
1792	广平县
1793	肥乡区
1794	临漳县
1795	磁县
1796	武安市
1797	峰峰矿区
1799	邢台市
1800	南宫市
1801	沙河市
1803	柏乡县
1804	任泽区
1805	清河县
1806	宁晋县
1807	威县
1808	隆尧县
1809	临城县
1810	广宗县
1811	临西县
1812	内邱县（现内丘县）
1813	平乡县
1814	巨鹿县
1815	新河县
1816	南和区
1817	内丘县
1819	保定市
1820	涿州市
1821	定州市
1822	安国市
1823	高碑店市
1824	满城县
1825	清苑县
1826	涞水县
1827	阜平县
1828	徐水县
1829	定兴县
1830	唐县
1831	高阳县
1832	容城县
1833	涞源县
1834	望都县
1836	安新县
1837	易县
1838	曲阳县
1839	蠡县
1840	博野县
1841	雄县
1842	顺平县
1844	张家口市
1845	宣化县
1846	康保县
1847	张北县
1848	阳原县
1849	赤城县
1850	沽源县
1851	怀安县
1852	怀来县
1853	崇礼区
1854	尚义县
1855	蔚县
1856	涿鹿县
1857	万全区
1859	承德市
1860	承德县
1861	兴隆县
1862	隆化县
1863	平泉市
1864	滦平县
1865	丰宁满族自治县
1866	围场满族蒙古族自治县
1867	宽城满族自治县
1869	沧州市
1870	泊头市
1871	任丘市
1872	黄骅市
1873	河间市
1874	沧县
1875	青县
1876	献县
1877	东光县
1878	海兴县
1879	盐山县
1880	肃宁县
1881	南皮县
1882	吴桥县
1883	孟村回族自治县
1884	曹妃甸区
1886	廊坊市
1887	霸州市
1888	三河市
1889	固安县
1890	永清县
1891	香河县
1892	大城县
1893	文安县
1894	大厂回族自治县
1896	衡水市
1897	冀州区
1898	深州市
1899	饶阳县
1900	枣强县
1901	故城县
1902	阜城县
1903	安平县
1904	武邑县
1905	景县
1906	武强县
1909	太原市
1911	古交市
1912	阳曲县
1913	清徐县
1914	娄烦县
1915	小店区
1916	尖草坪区
1918	大同市
1919	云州区
1920	天镇县
1921	灵丘县
1922	阳高县
1923	左云县
1924	广灵县
1925	浑源县
1927	阳泉市
1928	平定县
1929	盂县
1933	长治市
1934	襄垣县
1935	屯留区
1936	平顺县
1937	黎城县
1938	壶关县
1939	长子县
1940	武乡县
1941	沁县
1942	沁源县
1943	潞城区
1945	晋城市
1946	高平市
1947	泽州县
1948	沁水县
1949	陵川县
1950	阳城县
1952	朔州市
1953	山阴县
1954	应县
1955	右玉县
1956	怀仁市
1957	平鲁区
1959	晋中市
1960	榆次区
1961	介休市
1962	榆社县
1963	左权县
1964	和顺县
1965	昔阳县
1966	寿阳县
1967	太谷区
1968	祁县
1969	平遥县
1970	灵石县
1972	运城市
1973	永济市
1974	河津市
1975	芮城县
1976	临猗县
1977	万荣县
1978	新绛县
1979	稷山县
1980	闻喜县
1981	夏县
1982	绛县
1983	平陆县
1984	垣曲县
1986	忻州市
1987	原平市
1988	定襄县
1989	五台山
1990	代县
1991	繁峙县
1992	宁武县
1993	静乐县
1994	神池县
1995	五寨县
1996	岢岚县
1997	河曲县
1998	保德县
1999	偏关县
2000	五台县
2002	临汾市
2003	侯马市
2004	霍州市
2005	曲沃县
2006	翼城县
2007	襄汾县
2008	洪洞县
2009	古县
2010	安泽县
2011	浮山县
2012	吉县
2013	乡宁县
2014	蒲县
2015	大宁县
2016	永和县
2017	隰县
2018	汾西县
2020	吕梁市
2021	离石区
2022	孝义市
2023	汾阳市
2024	文水县
2025	中阳县
2026	兴县
2027	临县
2028	方山县
2029	柳林县
2030	岚县
2031	交口县
2032	交城县
2033	石楼县
2036	呼和浩特市
2037	托克托县
2038	武川县
2039	和林格尔县
2040	清水河县
2041	土默特左旗
2042	呼市郊区
2044	包头市
2045	固阳县
2046	达尔罕茂明安联合旗
2047	土默特右旗
2048	白云鄂博矿区
2049	满都拉镇
2051	乌海市
2054	赤峰市
2055	宁城县
2056	林西县
2057	喀喇沁旗
2058	巴林右旗
2059	敖汉旗
2060	阿鲁科尔沁旗
2061	翁牛特旗
2062	克什克腾旗
2063	巴林左旗
2064	浩尔吐乡
2065	宝国吐乡
2066	岗子乡
2067	八里罕镇
2068	平庄镇
2069	天义镇
2071	通辽市
2073	开鲁县
2074	科尔沁左翼中旗
2075	科尔沁左翼后旗
2076	库伦旗
2077	奈曼旗
2078	扎鲁特旗
2079	青龙山镇
2080	巴雅尔吐胡硕镇
2081	高力板镇
2082	舍伯吐镇
2084	鄂尔多斯市
2085	东胜区
2086	准格尔旗
2087	乌审旗
2088	伊金霍洛旗
2089	鄂托克旗
2090	鄂托克前旗
2091	杭锦旗
2092	达拉特旗
2093	河南(内蒙)
2094	乌审召镇
2095	伊克乌素镇
2097	呼伦贝尔市
2098	海拉尔区
2099	满洲里市
2100	牙克石市
2101	扎兰屯市
2102	根河市
2103	额尔古纳市
2104	陈巴尔虎旗
2105	阿荣旗
2106	新巴尔虎左旗
2107	新巴尔虎右旗
2108	鄂伦春自治旗
2109	莫力达瓦达斡尔族自治旗
2110	鄂温克族自治旗
2111	诺敏镇（小二沟）
2112	图里河镇
2115	临河区
2116	五原县
2117	磴口县
2118	杭锦后旗
2119	乌拉特中旗
2120	乌拉特前旗
2121	乌拉特后旗
2122	海力素
2123	那仁宝力格
2124	大佘太镇
2127	集宁区
2128	丰镇市
2129	兴和县
2130	卓资县
2131	商都县
2132	凉城县
2133	化德县
2134	四子王旗
2135	察哈尔右翼前旗
2136	察哈尔右翼中旗
2137	察哈尔右翼后旗
2138	希拉穆仁镇
2140	锡林浩特市
2141	二连浩特市
2142	多伦县
2143	阿巴嘎旗
2144	西乌珠穆沁旗
2145	东乌珠穆沁旗
2146	苏尼特左旗
2147	苏尼特右旗
2148	太仆寺旗
2149	正镶白旗
2150	正蓝旗
2151	镶黄旗
2152	朱日和镇
2153	博克图镇
2154	乌拉盖管理区
2157	乌兰浩特市
2158	阿尔山市
2159	突泉县
2160	扎赉特旗
2161	科尔沁右翼前旗
2162	科尔沁右翼中旗
2163	霍林郭勒市
2164	索伦镇
2165	胡尔勒镇
2168	阿拉善左旗
2169	阿拉善右旗
2170	额济纳旗
